tissue	dataset_type	species	control	case	direction	hallmarks
skin	methylation	mouse	Mouse-19.95-30	Mouse-350-400	up	LOC100270710;GABRP;KRTAP5-7;IL2RG;CSMD2;IL1RL2;TAL1;CD68;GPR88;PRKG1;SCN11A;SLC1A2;MUCL1;FAM221B;EEF1A2;LOC723972;RHOH;ROBO2;MS4A1;CCDC144NL;CMA1;ECEL1P2;FLG2;CDH4;CLPS;ADORA1;CSRP3;FLJ45079;KRT75;TMC3;A4GNT;EYA4;RAC2;PDCD1;PDYN;C18orf26;LIPH;SFRP2;SLCO1C1;OBP2B;AADACL3;SFRP1;CST7;MMP10;CD101;GRIA1;BCL2L14;FLJ44606;GOLGA6A;RSPH6A;MYH7;CD3E;KIF5C;BMPR1B;TMEM37;RASD2;BEST2;CEBPE;BTNL8;TSHZ2;GOLM1;BATF3;TSPO2;ACER1;HBZ;HCST;CCL17;FGF1;PAPPA;COL5A3;FAM101A;DRD5;SULT1E1;PPP1R17;TCTE1;AADACL4;PPBP;SLC32A1;GJB4;CTNNA2;PF4V1;CLASRP;LYPD3;STOX2;COL5A1;EFNA5;BANF2;MAP1LC3C;NWD1;TM4SF18;ADCY2;HMOX2;GPC5;TULP2;SLN;GRAP2;LGALS12;DDO;CXCL14
skin	methylation	human	19.95-25.0	70.0-80.0	up	C11orf90;LPAR1;LOC100270710;BANF2;LOR;MYF6;OBP2B;DUSP26;TAS2R8;MORC1;KIF5C;CD68;XCL2;KRT75;PF4V1;LILRA3;OR1E2;GREM2;EYA1;KRT10;TMEM100;RAC2;SFRP1;CCL17;CMA1;TSPO2;SPACA5B;FUK;C11orf45;AGTR2;SLCO2B1;DCSTAMP;C1orf100;KRT86;STMN3;SNORD94;AQP5;PSORS1C1;GPT;GPM6B;SRGN;CASP14;CCL7;SMIM2;SORCS3;A4GNT;PDZRN4;EFNA5;OVOL1;MTNR1A;CDH26;HDHD3;SLC32A1;IL1RL2;FAM101A;SPPL2C;LOC400696;ANO2;MFAP3L;SCEL;C15orf53;CSMD2;FCAR;ZNF137;IL2RG;CALHM4;CXCL6;ANK2;C1orf56;LYPD3;SH2D1B;MS4A1;PRR5L;CNTFR;PDCD1;IL25;PNMA3;NRCAM;HLA-G;PLA2G2D;AQP9;GJB4;LCE6A;LOC100133893;SV2C;BTNL8;PDE6C;C19orf30;SFRP2;NCR1;ABI3;TBATA;SULT1E1;CATSPER4;SLC44A4;POU3F2;SLC17A6;LIPH;PPP1R2C
skin	expression	mouse	Mouse-19.95-30	Mouse-350-400	up	UTY;CD1A;AKR1C4;PLEKHG1;CALCRL;SLC22A7;SLC17A7;SLCO4C1;SLC6A11;CDKN1A;C4BPB;SLC7A10;KRT15;MOBP;PZP;ANKRD1;MARCO;CXCL6;DDIT4;PRKG1;TUFM;SYCP3;MT1M;CCL4L2;MMP13;SYTL2;MAT1A;KITLG;SCUBE3;GRIA3;KYNU;B3GALT1;CAPN11;FNDC5;CYP2A7;FLT1;PAPSS2;FLG2;TINAGL1;SLC7A2;SLC38A3;NKAIN1;MS4A1;SLCO4A1;RASD2;HSPA8;C3;STC1;CFD;SCN4B;GJB1;KDM5D;SOX7;ACSBG1;ZBTB16;ENO1;KRT4;SPTBN2;INMT;TUBA4B;NNMT;SIM2;COL8A1;DSP;NCOA4;AREG;CLDN18;HAS2;ACTA2;HR;RHOU;SLC1A2;HPR;PDGFRA;CCL2;NPFFR1;CDH1;MT-ND6;GPX2;IL1RL1;FREM2;TNFRSF19;APOD;FRZB;DUOX2;CH25H;SRPX;PIGR;ACSM3;SLC2A14;ADIRF;ATF3;SERPINA3;KRT79;NPTX1;SFRP1;SCG3
skin	expression	human	19.95-25.0	70.0-80.0	up	SLC1A1;KRT15;BBOX1;CYP2B6;KDM5D;SELENOP;UTY;CD74;STC1;C3;SYN2;RASGRP1;PLEKHG1;PLGLB1;SLC7A2;IL1RL1;CPS1;ACSM1;TKTL1;EDAR;LRP1B;TIAM1;POU4F3;BDH1;SLC17A7;CLDN10;SOX7;NKAIN1;SPNS2;SLC22A7;PRDM12;SLCO4A1;UBL4B;ABCB1;GDPD2;SPTBN2;TNR;GPX3;NRCAM;CALML3;MAF;ECI2;PDZK1;FABP3;HR;LGI4;CXCL6;ANKRD35;SPTA1;SLCO4C1;KY;CPA3;CYP2E1;IL1RN;SLC6A1;HOMER2;SELP;TTN;RSPO4;CH25H;DLL3;DEFB4A;ANKRD1;SYTL2;NEBL;CFD;EMX2;CRH;SRPX;SRD5A1;ANKRD2;TBL1Y;NNMT;ZNF385B;BAAT;PI16;SLC34A1;NPAS2;KRT2;KYNU;MARCO;SPARCL1;MLPH;AQP3;KLHL1;DSP;AKR1C4;RNF165;MCTP2;MT-CO1;ACSBG1;CHRNE;KRT1;TFF3;AGBL1;RASL10B;CD1C
liver	methylation	mouse	Mouse-19.95-30	Mouse-350-400	up	CD101;PM20D1;NAPSB;PCDH12;LOC100132724;NRG4;LRP1;GAL;IL18;HCG9;OR4N3P;CLPS;MMP20;MIR1974;CA1;C14orf162;ZNF137;C4orf6;ADH4;SLN;KLRD1;FAM101A;CD8A;SIGLEC12;MYOM2;KRTAP5-7;PPBP;C18orf62;FLJ44606;HOXA13;BPHL;COL17A1;IL1RL2;MIR802;FRS2;ACSM1;ACTN3;CEBPE;HBD;BCL2L14;TTC39C;ASAP3;SNCA;CFAP57;AKNA;WDR66;GZMK;GPR88;PF4V1;LOC441666;TAL1;ABHD4;PLCD4;EIF5A;TMEM132A;COX6A2;HSPB9;SLC10A6;REN;C1orf162;SNORA80B;CCN5;MIR941-3;CXCL14;ROBO2;CDK14;PADI4;C6orf182;MRPL35;SH2D1B;BTN3A2;PSG5;SMTNL1;SFRP1;PNLIPRP2;STK25;PLEKHG7;USH1C;GRM8;BGLAP;TTLL10;FAM129A;ABCD2;TNMD;ATP4B;PTN;LOC100270710;CA8;GUCA2B;GSTM1;HSD3B2;CRABP2;LHCGR;BMPR1B;SLC25A18;CCN1;TRAF1;LCK;GPT
liver	methylation	human	19.95-25.0	70.0-80.0	up	CD101;HBD;BTN3A2;GZMK;SIGLEC12;ITGBL1;BCL2L14;CD247;KLRD1;MS4A1;NAPSB;GZMA;MYO7A;C14orf162;MMP20;CD2;BIN2;C11orf90;MYL1;GAL;MMP13;GRM8;ADAM28;PM20D1;ADAM12;ADH1B;APOE;EIF5A;HSD3B2;TRAF1;MIR802;HCG9;NRG4;LTF;ADIPOQ;BCL11B;SFRP4;CA1;CLPS;AR;PIK3CG;ZNF137;ADH4;IL2RG;KCNS3;TAS2R43;GIMAP5;PPBP;CD48;DHDDS;RRN3;GUCY2C;LOC100132724;TMEM132A;PCK1;BANF2;ASTL;TMEM37;PCDHA12;MYH1;SLN;CD8A;B3GNT2;LGALS12;PSG5;LAG3;LRIF1;SELL;AREG;ITK;CD3E;REN;CITED1;STK25;CHI3L1;TLR8;SH2D1B;GNB3;PLAGL1;MIR1974;MYOM2;IL2RB;B3GAT1;CD5L;PGD;GFPT2;IL1RL2;CCL1;EBI3;SH2D2A;PAPPA2;CYP2E1;CDO1;BTN3A3;GPR88;LRRC15;LAPTM5;SLC4A1;IL18
liver	expression	mouse	Mouse-19.95-30	Mouse-350-400	up	C4BPB;ACSM1;SERPINA3;MFSD2A;SULT2A1;CD1A;AHSG;ADTRP;KYNU;C3;METTL7B;MT1M;FABP1;TAT;ANKRD1;AKR1C4;LBP;TSPAN7;SLC22A7;PIGR;UGT3A2;GRIA3;CRP;OVCH1;PZP;MARCO;NNMT;MOBP;HSD17B2;SLC22A1;TIMP4;FBP2;CYP17A1;APOA1;TMEM266;B3GALT1;RGN;ACOT6;CFI;KLHDC7A;TKTL1;PDE6A;CYP7A1;KRT15;EPHX2;LPA;FOXQ1;MIOX;SRPX;MSR1;SLC16A10;CYP2C19;ABCB11;FOSB;IGF1;SLC46A1;SLC17A4;PRG4;SCD;CYP3A7;SAA4;NAT8B;FLT1;HPDL;HAO2;HAMP;GABRP;GPT;ABCB1;SERPINA10;CCL13;VNN1;CMPK2;RDH16;IGFBP5;LEP;MT-ND4L;COL17A1;ACOT1;FABP7;CXCL6;SLC34A1;XPNPEP2;SLC39A5;DDIT4;GFAP;HPR;NR5A2;TBX15;CPS1;DHRS2;LGALS3BP;LRP2;EPHX1;UTY;FMO3;POLR2A
liver	expression	human	19.95-25.0	70.0-80.0	up	SERPINA3;ANKRD1;BEX1;TM4SF19;LBP;CNN3;SLC3A1;FGL1;CYP2B6;APOA1;UGT3A2;SCD;AHSG;OSMR;C3;NNMT;HSD3B2;ACO1;GLUD2;CYP11B1;ALDH2;DHCR24;MIOX;TKTL1;CYP2C19;SLC39A7;CHI3L1;CLDN18;OVCH1;CORO2B;MT-ND4L;FXYD2;FABP1;ADGRG7;CD1C;IFIT1B;SLC46A1;EGF;TMEM132A;DDIT4;APOA4;DHRS2;EVI2A;KRT15;APOH;PAPPA2;CPS1;ITLN1;C4BPA;FMO3;SPP1;ACSM1;CYP3A7;LEP;MS4A3;C4B;NDRG1;CD1A;LYPD4;FCGR3B;IGFBP1;SLC1A1;ACSS3;LRRC32;ABLIM3;APOA2;CD1B;LTF;PIGR;A1BG;CMPK2;CFI;CRP;MMP8;TFPI;IGSF6;SLC34A1;ORM2;ABCB11;TTC3;UGT2B28;TIMP4;CXCL5;ELOVL2;CYP4F2;DIRAS3;TMED9;ALDOB;HSPA1B;CD177;MT-ND1;TXNIP;AQP9;CCL22;SRPX;ABCA13
muscle	methylation	mouse	Mouse-19.95-30	Mouse-350-400	up	GZMK;CLPS;TAL1;PCDH12;CD8A;EIF5A;CD101;BPHL;GPT;HBD;LCK;C4orf6;CA1;KRT13;DPPA4;SNCA;SLN;IL18;NAPSB;TMEM132A;KLRD1;GUCY2C;C18orf26;PF4;OR4N3P;PM20D1;FAM101A;GAL;GPR88;HAUS2;GZMA;PPBP;HPX;NRG4;BTN3A2;ACSM1;MYOM2;CLEC2D;BTNL8;PCDHA12;ANO2;COL17A1;CCL5;BCL2L14;PIGR;MIR320B1;ADH4;CEBPE;OR2L13;KRTAP5-7;MYH1;SRR;CELA3A;USH1C;C18orf62;ZNF137;MRPL35;CLDN15;CA8;MYL1;HBE1;RASGRP1;HAMP;FABP7;FITM1;PSMA8;F7;SLC38A3;GFI1B;SOX11;PRF1;ALOX12;ADH1A;GRM8;GOLGA6A;ASAP3;GNLY;IL2RB;MMEL1;HRG;GDF5;CMIP;ATP4B;MAPRE2;CYP7A1;LAIR2;EVL;PRG4;BATF3;CRABP2;LOX;REN;LOC100132724;BANF2;PNLIPRP1;EVC2;TAT;CCN5;SLC4A1
muscle	methylation	human	19.95-25.0	70.0-80.0	up	BANF2;GUCY2C;PCDHA12;ASTL;IL18;BTNL8;C18orf62;COL17A1;RHOH;CD101;PLAC8;WBSCR26;PCDH12;CRABP2;KLRD1;HAUS2;EIF5A;GRM8;HBD;OR2L13;C18orf26;GPR88;GPT;CD164;HAL;GRP;NLRP2;EBI3;TREML4;CLEC2D;CCR7;GDF5;HCG9;MAGEB2;OR4N3P;HPX;NAPSB;PRR5;PM20D1;MYL1;TAS2R43;PHACTR1;BPHL;CSRP3;PTGDR;MZB1;MIR320B1;EMR2;KRT13;MYOM2;GAL;HPSE;PSMA8;TMEM158;BTN3A2;SEMA4G;TLR8;EVL;HAGHL;SCN4A;FAM101A;HPR;GZMK;LY9;SNCA;GOLGA6A;RAD17;ZNF137;ITGB1;MYH1;ADORA1;COL1A1;CYP7A1;KLHL14;PNLIPRP2;CELA3A;EFNB3;CCL1;TAL1;RGS1;C2orf82;ACTN2;BATF3;C6orf182;BCL2L14;MYL5;LCK;GPR114;FYB;NDRG4;NNAT;KIF5C;TUBAL3;C14orf162;GH1;HSD3B2;TYMS;CLCA1;EDN2
